Temperature	300 K	315 K	330 K	345 K	360 K	400 K	415 K	430 K	445 K
Time	AI	AI	AI	AI	AI	AI	AI	AI	AI
95.2259E+0	59.4654E-9	65.3967E-9	71.1128E-9	78.8611E-9	80.0406E-9	75.6598E-9	74.4854E-9	69.7862E-9	72.5059E-9
96.2583E+0	59.3121E-9	64.9482E-9	70.9530E-9	78.2178E-9	79.6021E-9	75.3067E-9	74.0419E-9	69.3433E-9	72.4792E-9
97.2909E+0	59.0405E-9	64.6886E-9	70.6316E-9	78.2086E-9	79.3231E-9	74.4857E-9	73.4439E-9	69.4860E-9	72.0791E-9
98.3234E+0	59.3990E-9	64.3684E-9	70.3457E-9	77.9653E-9	78.8963E-9	74.5427E-9	73.4129E-9	69.1486E-9	71.9219E-9
99.3559E+0	58.9896E-9	64.2626E-9	69.9230E-9	77.7651E-9	78.1402E-9	73.7959E-9	72.3714E-9	69.0416E-9	71.3122E-9
100.3885E+0	58.8552E-9	64.2124E-9	70.0566E-9	77.4305E-9	77.9151E-9	72.6988E-9	71.7142E-9	68.4138E-9	71.5047E-9
101.4210E+0	58.4560E-9	63.9082E-9	69.6683E-9	76.7150E-9	77.3956E-9	72.4804E-9	71.2371E-9	68.5171E-9	71.8590E-9
102.4534E+0	58.4265E-9	63.3343E-9	69.3326E-9	76.7495E-9	76.5146E-9	72.0784E-9	70.6855E-9	68.5514E-9	71.3933E-9
103.4859E+0	58.0857E-9	63.4673E-9	69.5114E-9	76.3848E-9	76.6847E-9	71.3483E-9	70.2446E-9	68.1985E-9	70.8876E-9
104.5184E+0	57.8025E-9	62.9457E-9	69.4481E-9	76.1939E-9	75.9455E-9	70.5988E-9	70.1913E-9	67.9975E-9	70.8993E-9
105.5509E+0	57.6688E-9	62.9589E-9	68.5448E-9	76.1115E-9	75.5424E-9	70.3118E-9	69.4419E-9	67.7032E-9	70.8715E-9
106.5835E+0	57.5588E-9	63.1724E-9	68.3947E-9	76.1206E-9	74.6782E-9	69.8776E-9	68.9775E-9	67.7450E-9	71.0765E-9
107.6160E+0	57.3252E-9	62.6200E-9	68.3036E-9	75.7022E-9	74.6004E-9	69.2853E-9	68.3745E-9	67.6797E-9	70.8026E-9
108.6484E+0	57.0810E-9	62.3986E-9	67.9422E-9	75.4946E-9	74.2243E-9	68.6204E-9	67.6361E-9	67.4673E-9	70.5840E-9
109.6809E+0	57.0064E-9	61.7307E-9	67.6083E-9	75.0514E-9	74.2832E-9	68.3694E-9	67.2964E-9	67.1903E-9	70.5381E-9
110.7134E+0	56.5393E-9	61.7963E-9	67.2423E-9	75.0177E-9	73.5522E-9	67.7780E-9	66.4425E-9	66.7420E-9	69.8001E-9
111.7459E+0	56.8477E-9	61.5820E-9	67.6323E-9	74.4929E-9	73.8424E-9	67.3913E-9	65.9913E-9	66.7082E-9	70.0525E-9
112.7785E+0	56.3352E-9	61.4418E-9	67.0045E-9	74.2410E-9	72.6756E-9	66.8823E-9	65.5536E-9	66.2501E-9	69.7099E-9
113.8110E+0	56.2836E-9	60.9053E-9	66.6167E-9	73.9683E-9	72.1342E-9	66.4003E-9	64.9104E-9	66.4447E-9	69.7038E-9
114.8436E+0	55.7902E-9	60.7759E-9	66.5323E-9	73.8847E-9	72.0397E-9	65.8629E-9	64.7100E-9	66.3256E-9	69.0048E-9
115.8760E+0	55.6805E-9	60.6699E-9	66.3724E-9	73.7055E-9	71.5916E-9	65.5075E-9	64.5669E-9	66.2516E-9	68.9208E-9
116.9085E+0	55.2112E-9	60.6202E-9	66.3709E-9	73.1817E-9	71.3869E-9	65.0209E-9	63.7436E-9	65.7738E-9	69.1226E-9
117.9410E+0	55.5175E-9	60.1868E-9	65.9188E-9	73.0829E-9	70.6123E-9	64.3456E-9	63.3166E-9	65.4285E-9	69.0108E-9
118.9735E+0	55.5848E-9	60.1622E-9	65.7292E-9	72.6649E-9	70.4776E-9	64.4404E-9	62.5933E-9	65.4549E-9	68.7454E-9
120.0060E+0	55.0775E-9	60.1350E-9	64.9824E-9	72.1945E-9	70.2042E-9	63.7536E-9	62.4005E-9	65.4621E-9	68.7783E-9
121.0386E+0	54.5931E-9	60.2391E-9	65.1353E-9	71.9321E-9	69.5688E-9	63.1949E-9	61.7274E-9	65.1170E-9	68.5241E-9
122.0711E+0	54.5372E-9	60.1309E-9	64.9130E-9	71.7566E-9	69.2497E-9	62.7269E-9	61.5433E-9	64.7954E-9	68.1050E-9
123.1036E+0	54.2363E-9	59.6053E-9	64.7461E-9	71.2993E-9	69.2833E-9	62.5080E-9	61.2591E-9	64.6399E-9	67.8726E-9
124.1361E+0	54.4011E-9	59.4359E-9	64.6397E-9	70.9808E-9	68.5040E-9	61.8304E-9	60.2911E-9	64.6103E-9	67.8711E-9
125.1686E+0	54.1986E-9	59.2841E-9	64.5998E-9	70.7131E-9	68.5260E-9	61.9314E-9	60.0459E-9	64.4687E-9	67.7146E-9
126.2011E+0	53.7123E-9	58.8786E-9	64.6343E-9	70.7240E-9	67.4138E-9	61.5462E-9	60.1006E-9	64.4711E-9	67.2362E-9
127.2336E+0	53.6650E-9	58.8071E-9	64.4010E-9	70.2856E-9	67.6105E-9	61.0758E-9	59.0317E-9	64.3113E-9	67.2544E-9
128.2662E+0	53.6943E-9	58.6454E-9	64.4241E-9	69.8482E-9	66.4653E-9	60.8058E-9	58.8480E-9	63.9298E-9	67.1868E-9
129.2987E+0	53.5216E-9	58.7519E-9	64.3359E-9	69.4035E-9	66.3643E-9	60.3468E-9	58.4119E-9	63.8095E-9	67.1975E-9
130.3312E+0	53.3119E-9	58.4026E-9	64.2857E-9	69.3789E-9	66.0204E-9	59.9371E-9	58.1710E-9	63.6481E-9	67.0871E-9
131.3636E+0	52.9837E-9	58.0360E-9	63.6481E-9	69.2796E-9	65.4375E-9	59.4897E-9	57.6897E-9	63.6391E-9	67.0113E-9
132.3961E+0	52.5970E-9	57.9492E-9	63.4600E-9	69.3421E-9	65.0564E-9	59.1888E-9	57.6374E-9	63.2106E-9	66.8082E-9
133.4286E+0	53.0473E-9	58.0561E-9	63.1177E-9	68.5927E-9	65.1623E-9	58.8601E-9	57.1004E-9	63.0428E-9	66.4410E-9
134.4611E+0	52.7636E-9	57.4506E-9	63.0527E-9	68.3536E-9	64.8706E-9	58.6271E-9	56.9319E-9	62.9828E-9	66.0354E-9
135.4937E+0	52.9001E-9	57.6009E-9	62.9273E-9	68.0845E-9	64.5329E-9	58.1884E-9	56.2962E-9	63.1294E-9	65.9537E-9
136.5262E+0	52.4300E-9	57.1645E-9	62.3391E-9	67.9373E-9	64.2463E-9	57.7127E-9	55.9937E-9	62.7637E-9	65.8235E-9
137.5587E+0	52.6182E-9	56.6969E-9	62.2609E-9	67.9121E-9	64.3273E-9	57.2950E-9	55.7103E-9	62.7547E-9	65.7376E-9
138.5912E+0	52.3236E-9	56.8593E-9	62.4650E-9	67.8364E-9	63.7436E-9	57.1891E-9	55.3201E-9	62.6297E-9	65.4905E-9
139.6237E+0	52.0774E-9	56.7622E-9	62.2137E-9	67.4257E-9	63.4305E-9	56.9642E-9	55.0919E-9	62.7316E-9	65.3260E-9
140.6562E+0	52.1321E-9	56.4317E-9	62.3008E-9	67.1703E-9	63.1659E-9	56.3563E-9	54.5099E-9	62.2850E-9	65.0476E-9
141.6887E+0	52.1822E-9	56.6078E-9	61.8155E-9	66.9166E-9	62.9812E-9	56.0215E-9	54.4618E-9	62.0476E-9	65.1647E-9
